usr1,grp315
usr75,x,loc1316
usr76,grp904
usr77,grp961
usr78,grp28
usr78,x,loc482
usr79,grp890
usr80,grp141
usr80,z,loc2287
usr81,grp547
usr82,grp982
usr83,grp83
usr83,y,loc108
usr84,grp91
usr85,grp149
usr86,grp347
usr86,x,loc1320
usr87,grp693
usr88,grp211
usr89,grp367
usr89,z,loc135
usr90,grp352
usr91,grp698
usr91,x,loc841
usr92,grp17
usr92,z,loc3440
usr93,grp44
usr93,y,loc1198
usr94,grp884
usr95,grp37
usr95,x,loc4083
usr96,grp888
usr97,grp180
usr97,y,loc4489
usr98,grp742
usr98,x,loc222
usr99,grp8
usr100,grp340
usr100,x,loc4581
usr101,grp82
usr102,grp775
usr102,y,loc2064
usr103,grp194
usr103,x,loc4853
usr104,grp289
usr104,z,loc3737
usr105,grp321
usr105,x,loc316
usr106,grp181
usr106,z,loc4410
usr107,grp601
usr108,grp392
usr109,grp172
usr109,z,loc4057
usr110,grp99
usr111,grp167
usr111,z,loc1976
usr112,grp733
usr113,grp554
usr113,y,loc4399
usr114,grp967
usr115,grp20
usr115,z,loc3400
usr116,grp75
usr117,grp569
usr117,x,loc2183
usr118,grp976
usr119,grp424
usr119,y,loc66
usr120,grp496
usr121,grp110
usr122,grp429
usr123,grp855
usr124,grp190
usr125,grp451
usr125,y,loc2774
usr126,grp86
usr127,grp520
usr128,grp245
usr128,z,loc3097
usr129,grp936
usr130,grp944
usr130,y,loc3042
usr131,grp327
usr132,grp971
usr133,grp753
usr133,x,loc1206
usr134,grp914
usr135,grp864
usr136,grp751
usr137,grp842
usr137,z,loc3469
usr138,grp649
usr138,z,loc974
usr139,grp603
usr139,z,loc3557
usr140,grp229
usr140,x,loc2922
usr141,grp498
usr141,z,loc1300
usr142,grp658
usr143,grp33
usr143,x,loc72
usr144,grp906
usr144,z,loc191
usr145,grp863
usr145,z,loc1516
usr146,grp805
usr146,z,loc2628
usr147,grp685
usr148,grp988
usr149,grp26
usr150,grp30
usr151,grp263
usr152,grp420
usr152,z,loc2997
usr153,grp747
usr154,grp737
usr155,grp413
usr155,y,loc4261
usr156,grp46
usr157,grp80
usr158,grp432
usr158,x,loc1861
usr159,grp763
usr159,x,loc829
usr160,grp184
usr160,y,loc3477
usr161,grp80
usr161,z,loc2543
usr162,grp268
usr162,x,loc3103
usr163,grp285
usr164,grp68
usr164,x,loc1734
usr165,grp29
usr165,y,loc1551
usr166,grp856
usr166,x,loc4395
usr167,grp522
usr167,y,loc1003
usr168,grp713
usr169,grp980
usr170,grp21
usr171,grp48
usr172,grp486
usr173,grp214
usr173,y,loc763
usr174,grp983
usr174,x,loc3191
usr175,grp489
usr175,z,loc3404
usr176,grp775
usr176,y,loc2637
usr177,grp756
usr177,x,loc4535
usr178,grp190
usr179,grp768
usr179,z,loc1382
usr180,grp133
usr181,grp562
usr181,y,loc1860
usr182,grp95
usr182,y,loc4569
usr183,grp301
usr183,y,loc758
usr184,grp300
usr185,grp384
usr186,grp517
usr187,grp879
usr187,z,loc608
usr188,grp363
usr188,z,loc1950
usr189,grp155
usr190,grp792
usr190,z,loc4641
usr191,grp480
usr192,grp617
usr193,grp219
usr194,grp818
usr195,grp791
usr196,grp169
usr196,x,loc3933
usr197,grp62
usr197,z,loc3987
usr198,grp133
usr198,z,loc1759
usr199,grp245
usr199,y,loc4111
usr200,grp99
usr201,grp121
usr202,grp242
usr202,y,loc3337
usr203,grp719
usr204,grp419
usr204,z,loc4247
usr205,grp678
usr205,y,loc4223
usr206,grp546
usr206,z,loc2447
usr207,grp797
usr208,grp292
usr208,z,loc385
usr209,grp909
usr210,grp418
usr210,z,loc115
usr211,grp915
usr212,grp21
usr213,grp511
usr214,grp129
usr214,y,loc203
usr215,grp355
usr215,z,loc2752
usr216,grp575
usr217,grp121
usr218,grp124
usr218,y,loc1570
usr219,grp900
usr219,y,loc453
usr220,grp398
usr220,y,loc4611
usr221,grp510
usr221,y,loc3415
usr222,grp124
usr223,grp461
usr224,grp534
usr225,grp88
usr225,y,loc4418
usr226,grp192
usr226,y,loc2455
usr227,grp535
usr227,x,loc928
usr228,grp447
usr228,y,loc3042
usr229,grp767
usr230,grp41
usr231,grp619
usr232,grp937
usr232,y,loc4051
usr233,grp377
usr233,z,loc2641
usr234,grp250
usr234,z,loc1699
usr235,grp502
usr236,grp429
usr237,grp625
usr238,grp706
usr238,y,loc1460
usr239,grp373
usr240,grp625
usr240,y,loc4256
usr241,grp23
usr241,x,loc1499
usr242,grp796
usr243,grp1
usr244,grp266
usr245,grp382
usr246,grp882
usr246,x,loc4209
usr247,grp452
usr248,grp206
usr249,grp653
usr250,grp850
usr250,z,loc2888
usr251,grp236
usr252,grp684
usr252,x,loc3947
usr253,grp211
usr253,y,loc951
usr254,grp687
usr254,y,loc1696
usr255,grp827
usr255,x,loc4574
usr256,grp245
usr256,x,loc1182
usr257,grp213
usr258,grp677
usr259,grp35
usr260,grp854
usr260,y,loc3164
usr261,grp471
usr261,z,loc2562
usr262,grp335
usr263,grp218
usr264,grp958
usr265,grp393
usr266,grp743
usr266,z,loc2040
usr267,grp505
usr267,y,loc154
usr268,grp606
usr268,x,loc4971
usr269,grp446
usr269,x,loc1799
usr270,grp893
usr270,x,loc368
usr271,grp274
usr272,grp178
usr273,grp953
usr273,z,loc718
usr274,grp115
usr275,grp231
usr275,y,loc1882
usr276,grp905
usr277,grp776
usr278,grp692
usr279,grp2
usr280,grp371
usr280,z,loc1323
usr281,grp124
usr281,x,loc1796
usr282,grp298
usr282,z,loc3381
usr283,grp476
usr283,x,loc4595
usr284,grp79
usr284,y,loc2434
usr285,grp657
usr286,grp634
usr286,z,loc4658
usr287,grp581
usr288,grp177
usr288,x,loc4028
usr289,grp631
usr289,z,loc3386
usr290,grp956
usr291,grp671
usr291,z,loc2445
usr292,grp792
usr293,grp655
usr294,grp816
usr295,grp53
usr295,z,loc2049
usr296,grp117
usr296,y,loc2416
usr297,grp192
usr298,grp177
usr298,z,loc2110
usr299,grp644
usr299,x,loc2377
usr300,grp83
usr300,x,loc2525
usr301,grp261
usr301,x,loc1890
usr302,grp527
usr303,grp489
usr303,z,loc833
usr304,grp981
usr305,grp200
usr305,x,loc1521
usr306,grp615
usr306,x,loc4736
usr307,grp569
usr307,z,loc2896
usr308,grp360
usr308,y,loc80
usr309,grp38
usr309,y,loc4944
usr310,grp574
usr310,x,loc2885
usr311,grp920
usr312,grp958
usr313,grp991
usr313,x,loc4259
usr314,grp260
usr314,z,loc1667
usr315,grp541
usr316,grp599
usr317,grp789
usr318,grp537
usr318,x,loc969
usr319,grp885
usr319,y,loc430
usr320,grp313
usr320,x,loc3616
usr321,grp870
usr322,grp943
usr322,z,loc1683
usr323,grp265
usr323,z,loc3478
usr324,grp350
usr324,z,loc1048
usr325,grp344
usr325,x,loc3960
usr326,grp414
usr326,z,loc3414
usr327,grp585
usr327,z,loc3541
usr328,grp707
usr329,grp919
usr330,grp157
usr331,grp848
usr332,grp472
usr333,grp269
usr334,grp962
usr335,grp282
usr336,grp487
usr336,y,loc1838
usr337,grp27
usr338,grp649
usr338,y,loc3017
usr339,grp207
usr339,x,loc2466
usr340,grp176
usr341,grp692
usr341,y,loc1559
usr342,grp806
usr343,grp669
usr344,grp190
usr345,grp228
usr345,x,loc1838
usr346,grp493
usr346,x,loc10
usr347,grp762
usr347,z,loc2535
usr348,grp525
usr349,grp829
usr350,grp660
usr351,grp640
usr352,grp31
usr353,grp803
usr354,grp379
usr355,grp922
usr356,grp701
usr357,grp728
usr358,grp390
usr358,x,loc1256
usr359,grp316
usr359,x,loc3394
usr360,grp659
usr361,grp746
usr362,grp757
usr362,z,loc2066
usr363,grp441
usr363,z,loc1678
usr364,grp348
usr365,grp823
usr366,grp464
usr367,grp336
usr367,z,loc1444
usr368,grp72
usr368,z,loc4892
usr369,grp157
usr370,grp783
usr371,grp349
usr371,y,loc2518
usr372,grp974
usr373,grp237
usr373,x,loc613
usr374,grp535
usr374,x,loc3906
usr375,grp60
usr375,y,loc1687
usr376,grp878
usr376,x,loc409
usr377,grp734
usr378,grp209
usr378,x,loc573
usr379,grp217
usr380,grp964
usr380,z,loc3409
usr381,grp495
usr382,grp701
usr383,grp513
usr383,z,loc1076
usr384,grp618
usr384,y,loc1417
usr385,grp139
usr385,z,loc4313
usr386,grp481
usr386,z,loc1419
usr387,grp863
usr388,grp28
usr389,grp390
usr389,z,loc4553
usr390,grp33
usr391,grp955
usr391,y,loc3990
usr392,grp823
usr392,z,loc3097
usr393,grp756
usr393,x,loc859
usr394,grp315
usr394,z,loc3040
usr395,grp437
usr396,grp196
usr396,y,loc1188
usr397,grp726
usr397,y,loc4662
usr398,grp66
usr398,z,loc1869
usr399,grp591
usr400,grp283
usr400,z,loc3734
usr401,grp848
usr402,grp962
usr403,grp68
usr403,x,loc1960
usr404,grp809
usr404,z,loc2950
usr405,grp304
usr405,y,loc2473
usr406,grp746
usr407,grp886
usr408,grp913
usr408,x,loc3178
usr409,grp905
usr409,x,loc314
usr410,grp14
usr410,x,loc1759
usr411,grp882
usr411,z,loc2349
usr412,grp570
usr412,x,loc1764
usr413,grp906
usr413,z,loc1143
usr414,grp474
usr414,x,loc1624
usr415,grp924
usr416,grp622
usr416,z,loc4486
usr417,grp865
usr418,grp382
usr418,y,loc1152
usr419,grp635
usr419,x,loc279
usr420,grp878
usr420,z,loc4314
usr421,grp620
usr421,y,loc2013
usr422,grp87
usr423,grp903
usr423,z,loc707
usr424,grp854
usr424,y,loc733
usr425,grp937
usr425,z,loc974
usr426,grp930
usr427,grp764
usr428,grp347
usr428,z,loc3109
usr429,grp741
usr429,x,loc3353
usr430,grp585
usr430,x,loc1
usr431,grp391
usr431,z,loc3745
usr432,grp481
usr432,y,loc1407
usr433,grp339
usr433,z,loc1915
usr434,grp817
usr434,x,loc2144
usr435,grp523
usr436,grp445
usr437,grp643
usr438,grp19
usr438,x,loc3994
usr439,grp999
usr439,x,loc915
usr440,grp788
usr440,y,loc3554
usr441,grp431
usr442,grp557
usr442,y,loc41
usr443,grp872
usr444,grp43
usr445,grp738
usr446,grp667
usr446,y,loc378
usr447,grp618
usr448,grp575
usr448,x,loc4278
usr449,grp647
usr450,grp942
usr451,grp234
usr452,grp683
usr453,grp679
usr454,grp30
usr455,grp867
usr455,z,loc142
usr456,grp500
usr457,grp708
usr458,grp430
usr459,grp189
usr459,x,loc142
usr460,grp463
usr461,grp50
usr461,x,loc1490
usr462,grp748
usr463,grp717
usr464,grp643
usr464,z,loc3309
usr465,grp433
usr465,z,loc4646
usr466,grp757
usr467,grp668
usr468,grp920
usr468,x,loc4006
usr469,grp879
usr469,y,loc4267
usr470,grp493
usr470,y,loc4018
usr471,grp652
usr472,grp387
usr473,grp328
usr473,z,loc1483
usr474,grp752
usr475,grp990
usr476,grp923
usr476,x,loc1430
usr477,grp379
usr478,grp399
usr479,grp711
usr480,grp528
usr480,y,loc938
usr481,grp916
usr481,x,loc3148
usr482,grp635
usr483,grp961
usr484,grp119
usr484,y,loc4956
usr485,grp618
usr486,grp253
usr487,grp445
usr487,x,loc1330
usr488,grp417
usr489,grp135
usr489,z,loc2292
usr490,grp803
usr491,grp187
usr492,grp103
usr492,x,loc512
usr493,grp535
usr493,y,loc2202
usr494,grp126
usr495,grp871
usr495,z,loc1069
usr496,grp546
usr496,z,loc397
usr497,grp10
usr497,z,loc3199
usr498,grp690
usr499,grp373
usr499,z,loc3294
usr500,grp213
usr500,x,loc790
usr501,grp728
usr502,grp907
usr503,grp743
usr503,z,loc1539
usr504,grp684
usr505,grp167
usr506,grp777
usr506,x,loc3864
usr507,grp450
usr508,grp66
usr509,grp782
usr510,grp83
usr511,grp339
usr511,x,loc2469
usr512,grp19
usr513,grp862
usr514,grp582
usr514,z,loc4713
usr515,grp410
usr515,x,loc2484
usr516,grp634
usr516,y,loc151
usr517,grp212
usr518,grp171
usr518,z,loc1364
usr519,grp731
usr519,y,loc2103
usr520,grp81
usr521,grp366
usr521,y,loc2380
usr522,grp585
usr522,z,loc3925
usr523,grp831
usr523,x,loc2275
usr524,grp600
usr524,y,loc3331
usr525,grp757
usr525,y,loc3033
usr526,grp57
usr526,y,loc2503
usr527,grp915
usr528,grp133
usr528,x,loc1569
usr529,grp425
usr529,x,loc2997
usr530,grp279
usr531,grp44
usr531,y,loc855
usr532,grp203
usr532,x,loc709
usr533,grp430
usr534,grp151
usr534,x,loc4125
usr535,grp419
usr535,z,loc1800
usr536,grp603
usr536,y,loc3968
usr537,grp940
usr537,y,loc4359
usr538,grp159
usr538,x,loc3114
usr539,grp371
usr539,x,loc3557
usr540,grp646
usr540,z,loc3453
usr541,grp632
usr541,z,loc2753
usr542,grp412
usr543,grp232
usr544,grp942
usr544,y,loc1935
usr545,grp861
usr545,z,loc513
usr546,grp127
usr546,z,loc2946
usr547,grp943
usr548,grp627
usr549,grp711
usr550,grp613
usr550,x,loc4947
usr551,grp846
usr551,y,loc672
usr552,grp701
usr552,z,loc1088
usr553,grp449
usr553,z,loc4826
usr554,grp630
usr554,z,loc842
usr555,grp685
usr555,x,loc784
usr556,grp76
usr557,grp603
usr557,z,loc3389
usr558,grp697
usr559,grp615
usr560,grp601
usr560,y,loc1040
usr561,grp863
usr562,grp982
usr563,grp135
usr564,grp959
usr564,z,loc3394
usr565,grp610
usr565,x,loc3113
usr566,grp774
usr566,y,loc2957
usr567,grp283
usr567,z,loc3389
usr568,grp652
usr569,grp443
usr569,z,loc741
usr570,grp812
usr571,grp667
usr572,grp522
usr572,y,loc586
usr573,grp963
usr573,x,loc3367
usr574,grp340
usr575,grp398
usr575,y,loc4998
usr576,grp400
usr576,y,loc4609
usr577,grp711
usr578,grp785
usr579,grp843
usr580,grp369
usr580,y,loc3414
usr581,grp152
usr581,y,loc1356
usr582,grp911
usr583,grp187
usr583,x,loc3966
usr584,grp859
usr585,grp221
usr586,grp296
usr586,x,loc4081
usr587,grp776
usr588,grp454
usr588,z,loc1832
usr589,grp303
usr589,z,loc2329
usr590,grp35
usr591,grp293
usr592,grp322
usr592,y,loc4899
usr593,grp815
usr594,grp78
usr595,grp328
usr596,grp723
usr597,grp379
usr598,grp72
usr599,grp384
usr600,grp77
usr600,z,loc1703
usr601,grp240
usr601,y,loc2522
usr602,grp87
usr602,x,loc2987
usr603,grp827
usr603,x,loc3612
usr604,grp583
usr605,grp559
usr606,grp662
usr606,z,loc34
usr607,grp216
usr607,y,loc2763
usr608,grp309
usr609,grp472
usr609,z,loc2837
usr610,grp733
usr611,grp891
usr612,grp280
usr613,grp491
usr613,x,loc2145
usr614,grp693
usr614,x,loc2771
usr615,grp532
usr615,y,loc4247
usr616,grp891
usr616,z,loc3598
usr617,grp868
usr617,y,loc570
usr618,grp11
usr619,grp289
usr619,y,loc3847
usr620,grp157
usr621,grp945
usr621,z,loc570
usr622,grp191
usr623,grp756
usr623,y,loc3698
usr624,grp322
usr624,x,loc3056
usr625,grp210
usr626,grp879
usr626,x,loc975
usr627,grp949
usr628,grp236
usr629,grp450
usr629,z,loc2942
usr630,grp531
usr630,y,loc4684
usr631,grp96
usr632,grp268
usr633,grp969
usr633,x,loc1746
usr634,grp775
usr634,z,loc182
usr635,grp795
usr636,grp306
usr637,grp936
usr637,x,loc2073
usr638,grp551
usr638,z,loc4481
usr639,grp276
usr640,grp459
usr640,x,loc4414
usr641,grp304
usr642,grp847
usr642,x,loc2081
usr643,grp551
usr644,grp870
usr644,y,loc3128
usr645,grp620
usr645,y,loc2368
usr646,grp668
usr647,grp867
usr648,grp250
usr649,grp899
usr650,grp782
usr650,z,loc4575
usr651,grp484
usr652,grp341
usr652,y,loc1002
usr653,grp934
usr653,y,loc2002
usr654,grp58
usr655,grp78
usr655,z,loc4422
usr656,grp134
usr657,grp240
usr658,grp308
usr659,grp504
usr659,x,loc3270
usr660,grp929
usr660,y,loc3249
usr661,grp913
usr662,grp318
usr663,grp649
usr663,x,loc2739
usr664,grp985
usr665,grp305
usr666,grp695
usr667,grp694
usr667,y,loc3980
usr668,grp435
usr668,x,loc583
usr669,grp921
usr670,grp498
usr671,grp62
usr671,x,loc1642
usr672,grp701
usr672,x,loc1896
usr673,grp138
usr674,grp809
usr675,grp322
usr675,y,loc3805
usr676,grp270
usr676,z,loc76
usr677,grp536
usr678,grp901
usr678,x,loc4787
usr679,grp618
usr680,grp786
usr681,grp363
usr681,z,loc3396
usr682,grp499
usr683,grp701
usr683,x,loc3326
usr684,grp295
usr684,y,loc653
usr685,grp143
usr686,grp701
usr686,z,loc816
usr687,grp562
usr688,grp343
usr688,z,loc3799
usr689,grp659
usr690,grp429
usr690,z,loc3319
usr691,grp762
usr691,x,loc1155
usr692,grp96
usr693,grp792
usr694,grp478
usr695,grp56
usr695,z,loc1808
usr696,grp316
usr697,grp577
usr697,z,loc3181
usr698,grp414
usr699,grp117
usr699,y,loc4303
usr700,grp615
usr700,y,loc1303
usr701,grp465
usr702,grp48
usr703,grp559
usr703,y,loc528
usr704,grp183
usr704,x,loc1891
usr705,grp598
usr705,x,loc2952
usr706,grp408
usr706,z,loc1710
usr707,grp293
usr708,grp785
usr709,grp706
usr710,grp635
usr710,y,loc3316
usr711,grp643
usr712,grp356
usr712,x,loc708
usr713,grp171
usr714,grp155
usr715,grp820
usr716,grp220
usr717,grp254
usr718,grp183
usr719,grp688
usr720,grp547
usr720,x,loc3392
usr721,grp518
usr721,y,loc1868
usr722,grp639
usr723,grp879
usr723,x,loc380
usr724,grp206
usr724,x,loc1479
usr725,grp661
usr726,grp602
usr726,y,loc67
usr727,grp185
usr727,x,loc1434
usr728,grp382
usr728,x,loc1228
usr729,grp422
usr730,grp267
usr730,z,loc2566
usr731,grp225
usr731,y,loc3618
usr732,grp827
usr732,x,loc1184
usr733,grp458
usr734,grp450
usr734,x,loc2667
usr735,grp616
usr735,x,loc4761
usr736,grp868
usr737,grp207
usr738,grp288
usr739,grp788
usr740,grp47
usr740,z,loc1287
usr741,grp467
usr741,z,loc3400
usr742,grp891
usr742,z,loc4708
usr743,grp1
usr743,z,loc179
usr744,grp519
usr744,x,loc2310
usr745,grp370
usr746,grp611
usr746,x,loc3117
usr747,grp621
usr747,y,loc4001
usr748,grp123
usr748,x,loc643
usr749,grp628
usr750,grp984
usr751,grp677
usr752,grp158
usr753,grp820
usr754,grp722
usr755,grp753
usr755,z,loc4806
usr756,grp945
usr757,grp137
usr758,grp277
usr759,grp506
usr759,y,loc1894
usr760,grp10
usr761,grp972
usr762,grp560
usr762,z,loc2335
usr763,grp108
usr763,x,loc2165
usr764,grp83
usr765,grp491
usr766,grp108
usr766,z,loc2986
usr767,grp709
usr767,x,loc1831
usr768,grp363
usr768,y,loc504
usr769,grp624
usr769,z,loc2298
usr770,grp279
usr771,grp476
usr772,grp441
usr772,x,loc2507
usr773,grp225
usr773,z,loc680
usr774,grp220
usr774,z,loc2857
usr775,grp240
usr775,z,loc3338
usr776,grp972
usr776,z,loc2744
usr777,grp986
usr777,x,loc4056
usr778,grp244
usr778,x,loc2817
usr779,grp680
usr779,y,loc556
usr780,grp637
usr780,x,loc2801
usr781,grp967
usr782,grp891
usr783,grp348
usr783,z,loc1435
usr784,grp976
usr784,z,loc2956
usr785,grp98
usr786,grp158
usr786,x,loc2180
usr787,grp595
usr788,grp18
usr788,y,loc3202
usr789,grp598
usr789,y,loc47
usr790,grp376
usr790,x,loc3644
usr791,grp912
usr791,z,loc4569
usr792,grp204
usr792,z,loc4984
usr793,grp704
usr793,x,loc1839
usr794,grp202
usr795,grp22
usr796,grp317
usr796,x,loc8
usr797,grp509
usr798,grp531
usr799,grp427
usr799,z,loc2843
usr800,grp175
usr801,grp782
usr802,grp526
usr802,z,loc379
usr803,grp453
usr803,x,loc4549
usr804,grp354
usr805,grp532
usr806,grp243
usr806,z,loc3303
usr807,grp759
usr807,z,loc2047
usr808,grp294
usr808,y,loc4709
usr809,grp698
usr809,y,loc2686
usr810,grp3
usr810,z,loc126
usr811,grp363
usr812,grp832
usr813,grp922
usr813,z,loc2658
usr814,grp655
usr815,grp123
usr815,x,loc4236
usr816,grp411
usr816,y,loc4965
usr817,grp11
usr817,x,loc1971
usr818,grp652
usr819,grp462
usr819,x,loc3351
usr820,grp701
usr821,grp397
usr821,y,loc2193
usr822,grp856
usr823,grp76
usr824,grp233
usr824,y,loc709
usr825,grp950
usr825,x,loc2264
usr826,grp947
usr826,y,loc4458
usr827,grp76
usr828,grp497
usr828,y,loc1899
usr829,grp932
usr829,y,loc1457
usr830,grp643
usr830,y,loc4024
usr831,grp280
usr832,grp830
usr833,grp743
usr833,y,loc2993
usr834,grp420
usr835,grp992
usr835,x,loc1908
usr836,grp245
usr837,grp178
usr837,y,loc3736
usr838,grp567
usr839,grp45
usr840,grp356
usr841,grp472
usr841,y,loc214
usr842,grp859
usr843,grp164
usr843,z,loc999
usr844,grp94
usr845,grp152
usr846,grp168
usr847,grp203
usr847,y,loc1339
usr848,grp620
usr848,x,loc574
usr849,grp960
usr850,grp189
usr851,grp666
usr852,grp159
usr853,grp191
usr853,x,loc1003
usr854,grp910
usr854,x,loc779
usr855,grp16
usr855,z,loc1563
usr856,grp410
usr856,y,loc2312
usr857,grp663
usr857,y,loc813
usr858,grp484
usr858,z,loc6
usr859,grp780
usr860,grp304
usr861,grp315
usr862,grp323
usr862,x,loc3506
usr863,grp658
usr864,grp726
usr864,y,loc2572
usr865,grp545
usr865,z,loc3132
usr866,grp805
usr867,grp478
usr867,z,loc1628
usr868,grp253
usr869,grp280
usr870,grp543
usr870,x,loc186
usr871,grp729
usr871,z,loc4174
usr872,grp20
usr873,grp139
usr874,grp284
usr875,grp565
usr875,z,loc2530
usr876,grp582
usr877,grp623
usr878,grp875
usr879,grp357
usr880,grp920
usr880,x,loc3677
usr881,grp660
usr881,y,loc1321
usr882,grp833
usr882,x,loc975
usr883,grp989
usr884,grp500
usr884,z,loc2129
usr885,grp819
usr885,x,loc1311
usr886,grp760
usr886,y,loc1447
usr887,grp480
usr887,y,loc2824
usr888,grp608
usr889,grp345
usr889,x,loc3415
usr890,grp916
usr891,grp698
usr892,grp181
usr893,grp555
usr893,x,loc421
usr894,grp219
usr895,grp375
usr896,grp809
usr897,grp871
usr898,grp434
usr899,grp527
usr900,grp723
usr900,x,loc11
usr901,grp674
usr902,grp322
usr902,x,loc4179
usr903,grp661
usr903,x,loc2199
usr904,grp176
usr905,grp915
usr906,grp297
usr906,x,loc1729
usr907,grp890
usr907,z,loc4689
usr908,grp299
usr909,grp332
usr909,z,loc3030
usr910,grp106
usr911,grp361
usr912,grp372
usr913,grp547
usr913,x,loc1935
usr914,grp762
usr914,y,loc296
usr915,grp479
usr916,grp462
usr916,x,loc4984
usr917,grp808
usr918,grp677
usr919,grp954
usr920,grp531
usr921,grp667
usr921,y,loc229
usr922,grp567
usr923,grp466
usr923,y,loc2502
usr924,grp985
usr925,grp880
usr926,grp516
usr926,z,loc2630
usr927,grp222
usr928,grp202
usr929,grp955
usr929,y,loc2859
usr930,grp657
usr930,x,loc2595
usr931,grp852
usr931,y,loc4562
usr932,grp239
usr932,x,loc3157
usr933,grp938
usr933,y,loc4070
usr934,grp772
usr935,grp435
usr935,x,loc1880
usr936,grp538
usr936,z,loc679
usr937,grp888
usr937,y,loc4884
usr938,grp464
usr939,grp468
usr939,y,loc3616
usr940,grp218
usr940,y,loc2195
usr941,grp245
usr942,grp516
usr943,grp144
usr944,grp818
usr944,y,loc4782
usr945,grp80
usr946,grp169
usr947,grp738
usr948,grp946
usr948,y,loc168
usr949,grp948
usr949,y,loc1501
usr950,grp735
usr950,x,loc1653
usr951,grp66
usr952,grp27
usr953,grp769
usr954,grp853
usr954,x,loc2016
usr955,grp617
usr955,z,loc432
usr956,grp742
usr957,grp953
usr957,x,loc3028
usr958,grp462
usr959,grp192
usr959,x,loc3000
usr960,grp774
usr961,grp596
usr961,y,loc4892
usr962,grp362
usr963,grp587
usr963,x,loc3167
usr964,grp171
usr964,z,loc924
usr965,grp131
usr965,x,loc4175
usr966,grp794
usr967,grp268
usr967,z,loc4564
usr968,grp664
usr968,y,loc1617
usr969,grp305
usr970,grp151
usr970,y,loc2214
usr971,grp336
usr972,grp915
usr972,y,loc677
usr973,grp152
usr973,z,loc1571
usr974,grp553
usr975,grp134
usr976,grp472
usr977,grp87
usr978,grp34
usr978,y,loc3609
usr979,grp477
usr979,z,loc4697
usr980,grp636
usr981,grp513
usr982,grp114
usr983,grp72
usr983,z,loc4850
usr984,grp405
usr984,z,loc1696
usr985,grp660
usr985,z,loc3418
usr986,grp341
usr986,y,loc3032
usr987,grp243
usr988,grp939
usr988,y,loc1472
usr989,grp819
usr990,grp378
usr991,grp886
usr991,y,loc1405
usr992,grp831
usr992,x,loc4652
usr993,grp802
usr994,grp596
usr995,grp419
usr995,z,loc999
usr996,grp882
usr996,z,loc4775
usr997,grp97
usr997,x,loc349
usr998,grp365
usr999,grp846
usr1000,grp66
usr1000,x,loc186
usr1001,grp945
usr1001,z,loc2490
usr1002,grp62
usr1002,y,loc3037
usr1003,grp197
usr1003,z,loc7
usr1004,grp525
usr1004,z,loc2844
usr1005,grp674
usr1006,grp230
usr1007,grp847
usr1008,grp983
usr1008,y,loc4696
usr1009,grp778
usr1010,grp758
usr1010,x,loc1947
usr1011,grp163
usr1011,z,loc621
usr1012,grp126
usr1013,grp155
usr1013,y,loc282
usr1014,grp849
usr1015,grp703
usr1015,z,loc4555
usr1016,grp992
usr1017,grp873
usr1018,grp606
usr1018,z,loc4460
usr1019,grp134
usr1019,x,loc3832
usr1020,grp570
usr1021,grp696
usr1021,z,loc1555
usr1022,grp16
usr1022,x,loc4359
usr1023,grp508
usr1024,grp554
usr1024,y,loc2106
usr1025,grp129
